"Date","229","230","231","232","233","234","236","237","238","335","336","414","416","420","421","423","424","1393","1394","1396","1397","1398","1399","1401","2969","3839","3905","3908","3910","3921","3922","3924","3937","3943","3946","3947","3948","3963","3970","3971"
"1960-06-01","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-02","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-03","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-04","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-05","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-06","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-07","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-08","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
"1960-06-09","0","0"," 0","0","0","0","0"," 0","0","0"," 0","0","0"," 0"," 0"," 0"," 0","0"," 0"," 0"," 0","0","0"," 0"," 0","0","0"," 0"," 0","0"," 0","0"," 0"," 0","0","0","0"," 0"," 0"," 0"
